"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"1","Milwaukee","East","Central","75","116.8","112.4","4.4","100.5","115.3","110.9","4.4","-0.59","0.97","3.81","14.1","0.089","54","21","0.720","0.622","0.645","0.098","1"
"2","Boston","East","Atlantic","75","118.1","111.7","6.4","98.4","118","111.7","6.3","-0.98","0.54","5.32","14","0.06","52","23","0.693","0.673","0.711","0.02","3"
"3","Philadelphia","East","Atlantic","75","115.2","110.6","4.6","96.9","117.7","113","4.7","0.00","1.27","4.70","12.9","0.022","49","26","0.653","0.642","0.651","0.011","-3"
"4","Cleveland","East","Central","76","112.2","106.5","5.7","95.4","116.3","110.4","5.9","-1.01","-1.52","4.89","12.9","0.005","48","28","0.632","0.676","0.688","-0.044","4"
"5","New York","East","Atlantic","76","115.6","112.8","2.8","96.9","117.5","114.7","2.8","-0.06","0.85","2.74","13.2","0.023","43","33","0.566","0.584","0.592","-0.018","1"
"6","Brooklyn","East","Atlantic","75","113.4","112.8","0.6","98.3","115","114.4","0.6","0.28","-3.56","0.88","15.5","0.036","40","35","0.533","0.515","0.52","0.018","-1"
"7","Miami","East","Southeast","75","109.1","109.9","-0.8","96.2","112.7","113.5","-0.8","-0.07","0.11","-0.87","11.4","-0.075","40","35","0.533","0.472","0.474","0.061","-1"
"8","Atlanta","East","Southeast","75","118","117.8","0.2","100.7","116.5","116.3","0.2","0.46","2.60","0.66","13","-0.029","37","38","0.493","0.506","0.507","-0.013","-1"
"9","Toronto","East","Atlantic","75","113","111.9","1.1","97.3","115.4","114.2","1.2","-0.48","1.77","0.72","12.2","-0.118","37","38","0.493","0.539","0.536","-0.046","2"
"10","Chicago","East","Central","75","113.4","112.4","1","98.5","113.6","112.7","0.9","0.30","-1.74","1.20","14.6","-0.003","36","39","0.480","0.525","0.533","-0.045","-1"
"11","Washington","East","Southeast","75","112.9","113.8","-0.9","98","114.7","115.6","-0.9","0.31","-1.33","-0.59","13.4","0.041","33","42","0.440","0.473","0.47","-0.033","-1"
"12","Indiana","East","Central","76","115.6","118.7","-3.1","100.6","114.4","117.4","-3","0.08","0.40","-2.92","11.1","-0.028","33","43","0.434","0.393","0.398","0.041","-3"
"13","Orlando","East","Southeast","75","111.8","114.2","-2.4","99.1","112.1","114.5","-2.4","0.97","1.21","-1.43","11.7","-0.017","32","43","0.427","0.419","0.421","0.008","3"
"14","Charlotte","East","Southeast","76","111.1","117.1","-6","100.8","109.4","115.3","-5.9","1.21","-0.42","-4.69","12.8","-0.054","25","51","0.329","0.322","0.302","0.007","2"
"15","Detroit","East","Central","75","110.7","118.7","-8","99.2","110.8","118.8","-8","1.01","-0.19","-6.99","12.4","-0.045","16","59","0.213","0.259","0.237","-0.046","-6"
"16","Denver","West","Northwest","75","116.8","112.7","4.1","98.1","118.6","114.3","4.3","-0.62","-0.23","3.68","14.2","0.065","51","24","0.680","0.619","0.635","0.061","4"
"17","Memphis","West","Southwest","74","116.8","112.4","4.4","100.9","115.2","110.9","4.3","-0.65","1.34","3.65","14.7","0.007","47","27","0.635","0.615","0.645","0.02","6"
"18","Sacramento","West","Pacific","75","121","118.5","2.5","100.3","119.6","117.2","2.4","-0.45","-0.49","1.95","12.5","0.009","45","30","0.600","0.576","0.582","0.024","-1"
"19","Phoenix","West","Pacific","75","113.7","111.9","1.8","98.2","115.2","113.3","1.9","0.57","-2.06","2.47","15.6","-0.001","40","35","0.533","0.548","0.559","-0.015","2"
"20","LA Clippers","West","Pacific","76","113","112.6","0.4","97.7","114.7","114.3","0.4","-0.21","4.10","0.19","13.8","0.024","40","36","0.526","0.512","0.513","0.014","1"
"21","Golden State","West","Pacific","76","118.2","117.7","0.5","101.7","115.4","114.9","0.5","0.55","-0.90","1.05","14.5","0.056","39","37","0.513","0.514","0.516","-0.001","-1"
"22","Minnesota","West","Northwest","76","115.9","116","-0.1","101","113.8","114","-0.2","0.42","-1.18","0.22","11.7","0.014","39","37","0.513","0.493","0.497","0.02","4"
"23","New Orleans","West","Southwest","75","114.4","112.4","2","99.2","114.2","112.3","1.9","-0.39","2.53","1.51","14.9","0.002","38","37","0.507","0.551","0.566","-0.044","5"
"24","LA Lakers","West","Pacific","75","116.4","116.7","-0.3","101.3","113.8","114.1","-0.3","0.40","-0.17","0.10","11.1","0.02","37","38","0.493","0.489","0.49","0.004","-1"
"25","Oklahoma City","West","Northwest","75","117.4","116.2","1.2","101","115.1","113.9","1.2","-0.07","-1.54","1.13","12.9","-0.063","37","38","0.493","0.537","0.54","-0.044","1"
"26","Dallas","West","Southwest","76","113.9","113.3","0.6","96.2","116.9","116.3","0.6","-0.34","-1.13","0.26","12.5","-0.003","37","39","0.487","0.519","0.52","-0.032","1"
"27","Utah","West","Northwest","75","117.1","117.9","-0.8","100.2","116.2","117","-0.8","-0.21","0.11","-1.01","11.6","0.042","35","40","0.467","0.473","0.474","-0.006","-4"
"28","Portland","West","Northwest","75","113.8","116.3","-2.5","98.1","115.7","118.2","-2.5","0.00","0.40","-2.50","13.8","-0.001","32","43","0.427","0.428","0.418","-0.001","-3"
"29","San Antonio","West","Southwest","75","112","122.5","-10.5","101.3","109.7","120","-10.3","0.43","1.54","-9.87","15","-0.061","19","56","0.253","0.246","0.154","0.007","-4"
"30","Houston","West","Southwest","76","110.4","118.8","-8.4","98.9","111.1","119.6","-8.5","0.96","-3.20","-7.54","12.2","-0.025","18","58","0.237","0.243","0.223","-0.006","-6"